                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.55015,                 2.4318,                 3.1689,                 1.0951,                0.80538,                0.98017,                0.97494,                0.95191,                0.80538,                0.98017,                0.97494,                0.84006,                0.23902,                0.67876,                 1.8962,                0.83849,                 0.0829,                 0.0019,                 0.0019
                      1,                0.40802,                 1.4669,                 1.5395,                0.98248,                0.92848,                0.96381,                0.97129,                0.92694,                0.92848,                0.96381,                0.97129,                0.82188,                 1.0232,                0.79664,                 1.0865,                 1.4077,               0.064771,              0.0037713,              0.0037713
                      2,                0.41963,                 1.3375,                 1.1145,                0.98053,                0.86156,                      1,                 0.9925,                0.96206,                0.86156,                      1,                 0.9925,                0.82062,                0.20942,                0.68384,                 0.8021,                0.81745,               0.046511,              0.0055106,              0.0055106
                      3,                 0.4283,                 1.3161,                 1.0341,                0.98628,                0.92681,                0.99397,                  0.995,                0.94071,                0.92681,                0.99397,                  0.995,                0.82548,                0.23658,                0.79855,                0.51726,                0.85054,               0.028118,              0.0071179,              0.0071179
                      4,                0.45125,                 1.2287,                0.90784,                0.99681,                0.84739,                0.92046,                0.97858,                0.91508,                0.84739,                0.92046,                0.97858,                0.81467,                0.77026,                0.86633,                0.84856,                 1.9544,              0.0095932,              0.0085932,              0.0085932
                      5,                 0.4637,                 1.4232,                0.91504,                0.99762,                0.78483,                0.83117,                0.93361,                0.83792,                0.78483,                0.83117,                0.93361,                0.77885,                0.83045,                0.80976,                0.92519,                  1.975,                0.00835,                0.00835,                0.00835
                      6,                0.49977,                 1.5994,                0.96559,                 1.0225,                  0.854,                0.73437,                  0.819,                0.68268,                0.85803,                0.71973,                0.82519,                0.62143,                0.59461,                 1.5199,                 1.5708,                 1.1354,                0.00835,                0.00835,                0.00835
                      7,                0.52743,                 1.5967,                0.91464,                  1.031,                0.80128,                  0.831,                0.89485,                0.74062,                0.81433,                0.76759,                0.86654,                0.65105,                0.96061,                   2.11,                 1.5955,                 1.2879,                0.00802,                0.00802,                0.00802
                      8,                0.54186,                 1.6327,                0.88032,                 1.0463,                0.81509,                 0.9697,                0.94136,                 0.8553,                0.81509,                 0.9697,                0.94136,                0.76683,                 0.7276,                 0.9312,                0.82374,                  1.401,                0.00769,                0.00769,                0.00769
                      9,                0.53768,                 1.6122,                0.85328,                 1.0459,                0.87022,                0.93208,                0.95863,                0.86086,                0.87022,                0.93208,                0.94737,                0.73459,                0.50529,                  1.418,                0.66663,                0.97451,                0.00736,                0.00736,                0.00736
                     10,                0.52853,                 1.3643,                 0.7905,                 1.0424,                0.90204,                0.92006,                0.92696,                0.85932,                0.90204,                0.92006,                0.92696,                0.72314,                0.32196,                 1.3993,                0.47429,                0.91206,                0.00703,                0.00703,                0.00703
                     11,                0.50819,                 1.3466,                0.68238,                  1.021,                0.81522,                0.96294,                0.95206,                0.87417,                0.81522,                0.96294,                0.95206,                 0.7333,                0.42372,                 1.3624,                0.75895,                 0.9203,                 0.0067,                 0.0067,                 0.0067
                     12,                 0.5482,                 1.4422,                0.81629,                 1.0632,                0.81832,                0.85445,                0.89965,                0.84058,                0.86336,                0.89983,                0.94048,                0.74302,                0.37616,                0.92925,                0.70833,                0.91051,                0.00637,                0.00637,                0.00637
                     13,                0.51213,                 1.2679,                0.69026,                 1.0034,                 0.8961,                0.93476,                0.98083,                0.92975,                 0.8961,                0.93476,                0.98083,                0.76993,                0.45071,                 1.1094,                 0.5666,                 1.0177,                0.00604,                0.00604,                0.00604
                     14,                 0.5053,                 1.3427,                0.69626,                 1.0212,                 0.8386,                0.92586,                 0.9738,                0.90368,                0.81297,                0.89662,                0.92917,                0.75463,                0.91411,                 1.2597,                0.62685,                 1.5089,                0.00571,                0.00571,                0.00571
                     15,                0.53985,                 1.4095,                0.74667,                 1.0756,                0.68675,                0.95238,                0.88826,                0.80754,                0.68675,                0.95238,                0.88826,                0.68647,                0.87494,                 1.6079,                 1.1363,                 1.5185,                0.00538,                0.00538,                0.00538
                     16,                0.51455,                 1.2921,                0.67724,                 1.0488,                0.81456,                0.87214,                0.92767,                0.83452,                0.81456,                0.87214,                0.92767,                0.67703,                0.32793,                 1.4351,                0.81124,                0.91733,                0.00505,                0.00505,                0.00505
                     17,                0.53205,                 1.2715,                0.68275,                 1.0465,                0.74801,                 0.9329,                0.94655,                0.86594,                0.74801,                 0.9329,                0.94655,                0.72347,                 0.3308,                 1.1196,                0.60354,                0.94651,                0.00472,                0.00472,                0.00472
                     18,                0.52365,                 1.2257,                0.64429,                 1.0239,                0.82944,                0.76653,                0.88357,                0.80124,                0.82944,                0.76653,                0.88357,                0.65666,                0.39015,                 1.6427,                 1.2827,                0.96272,                0.00439,                0.00439,                0.00439
                     19,                0.49628,                 1.3612,                0.66025,                  1.043,                0.87762,                0.97953,                  0.987,                0.80599,                0.87762,                0.97953,                  0.987,                0.67306,                0.50673,                 1.9346,                 1.5895,                 1.0669,                0.00406,                0.00406,                0.00406
                     20,                0.36051,                 1.0159,                 0.5685,                  1.011,                0.81457,                0.86188,                0.89846,                0.74723,                0.81457,                0.86188,                0.89846,                0.63815,                0.99318,                 2.3623,                  1.654,                 1.2951,                0.00373,                0.00373,                0.00373
                     21,                0.36089,                 1.0174,                 0.5251,                0.99606,                 0.8082,                0.98456,                0.94876,                0.86222,                0.85985,                0.92208,                0.95487,                0.74786,                0.40273,                 1.1681,                0.46448,                0.95572,                 0.0034,                 0.0034,                 0.0034
                     22,                0.33655,                 1.0674,                0.42931,                 1.0087,                0.76705,                0.99874,                0.93833,                0.78131,                0.76705,                0.99874,                0.93833,                0.72535,                0.43498,                0.93294,                0.46852,                 1.0236,                0.00307,                0.00307,                0.00307
                     23,                0.33937,                0.88401,                0.44227,                0.94531,                0.81682,                0.92208,                0.93985,                0.83369,                0.81682,                0.92208,                0.93985,                0.72027,                0.38073,                 1.0332,                0.47604,                0.98997,                0.00274,                0.00274,                0.00274
                     24,                0.37795,                  0.973,                0.45736,                 1.0169,                0.84491,                0.92678,                0.94889,                0.86224,                0.84814,                0.87496,                0.94396,                0.72748,                0.34043,                 1.1145,                0.53466,                0.95379,                0.00241,                0.00241,                0.00241
                     25,                0.31319,                0.86735,                 0.4045,                0.93095,                0.94555,                0.82295,                 0.9485,                0.86729,                0.94555,                0.82295,                0.93629,                0.71681,                0.34659,                 1.0451,                0.51144,                0.94115,                0.00208,                0.00208,                0.00208
                     26,                0.29048,                0.94585,                0.36512,                0.91295,                0.93769,                0.89177,                0.96933,                0.88941,                0.93769,                0.89177,                0.96933,                0.78422,                0.34575,                  1.029,                0.48888,                0.94629,                0.00175,                0.00175,                0.00175
                     27,                0.31312,                0.70368,                0.33444,                0.95246,                0.93151,                0.99623,                0.98917,                0.89626,                0.93151,                0.99623,                0.98917,                0.77924,                0.34178,                 1.0365,                0.44787,                0.95205,                0.00142,                0.00142,                0.00142
                     28,                0.27041,                0.70847,                0.31796,                0.93902,                0.93471,                0.99456,                 0.9925,                0.90644,                0.93471,                0.99456,                 0.9925,                0.79922,                 0.3203,                 1.0105,                0.32639,                 0.9354,                0.00109,                0.00109,                0.00109
                     29,                0.26623,                0.73871,                0.31526,                0.90567,                0.90388,                      1,                0.98667,                0.90647,                0.90388,                      1,                0.98667,                0.79426,                0.31124,                 1.0254,                0.33136,                0.94326,                0.00076,                0.00076,                0.00076
